TITLE: Bill of Materials
DATE: 04/16/2021
DESIGN: pc053e_toplevel
TEMPLATE: /projects/HEP_Instrumentation/cad/tools/cadence_templates/spreadsheet-format_1per_line.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS,Do Not Fit,MANUFACTURER,CASE,JEDEC_TYPE
PCOAX-U.FL-R-SMT-1(10),PX4,1,U.FL-R-SMT-1(10),?,?,?,?,?,HIROSE,_,HIROSE_U-FL-R-SMT-1_10
PCOAX-U.FL-R-SMT-1(10),PX3,1,U.FL-R-SMT-1(10),?,?,?,?,?,HIROSE,_,HIROSE_U-FL-R-SMT-1_10
PCOAX-U.FL-R-SMT-1(10),PX2,1,U.FL-R-SMT-1(10),?,?,?,?,?,HIROSE,_,HIROSE_U-FL-R-SMT-1_10
PCOAX-U.FL-R-SMT-1(10),PX1,1,U.FL-R-SMT-1(10),?,?,?,?,?,HIROSE,_,HIROSE_U-FL-R-SMT-1_10
"RSMD0402_0.0625W-XX,1%",R60,1,R0402_XX_1%_0.063W,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-0R0,1%",R69,1,R0402_0R0_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-0R0,1%",R68,1,R0402_0R0_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-0R0,1%",R67,1,R0402_0R0_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-0R0,1%",R66,1,R0402_0R0_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-0R0,1%",R65,1,R0402_0R0_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-0R0,1%",R64,1,R0402_0R0_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-0R0,1%",R59,1,R0402_0R0_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-0R0,1%",R58,1,R0402_0R0_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-10,1%",R61,1,R0402_10R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-100,1%",R18,1,R0402_100R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-100,1%",R11,1,R0402_100R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-100,1%",R9,1,R0402_100R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-100,1%",R8,1,R0402_100R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-100,1%",R7,1,R0402_100R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-150,1%",R6,1,R0402_150R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-150,1%",R5,1,R0402_150R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-1K,1%",R44,1,R0402_1K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-1K,1%",R21,1,R0402_1K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-1K,1%",R20,1,R0402_1K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-1K,1%",R19,1,R0402_1K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-1K,1%",R17,1,R0402_1K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-1K,1%",R10,1,R0402_1K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-200K,1%",R1,1,R0402_200K_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-220,1%",R3,1,R0402_220R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-2K,1%",R38,1,R0402_2K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-2K,1%",R36,1,R0402_2K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-2K,1%",R33,1,R0402_2K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-2K,1%",R32,1,R0402_2K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-2K,1%",R57,1,R0402_2K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-2K,1%",R4,1,R0402_2K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-2K,1%",R2,1,R0402_2K_1%_0.063W_100PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-3.0K,1%",R37,1,R0402_3K0_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-3.0K,1%",R35,1,R0402_3K0_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-33,1%",R26,1,R0402_33R_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R1328,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R411,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R242,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R143,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R142,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R140,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R138,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R103,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R43,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R42,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R41,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R40,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R39,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R29,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R28,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R25,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R24,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R23,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R22,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
"RSMD0402_1/16W-4.7K,1%",R16,1,R0402_4K7_1%_0.063W_200PPM,?,?,?,?,?,GENERIC,0402,C0402
